,Filename,DocumentID,ESTC_ID,Date,Title,Vol_Number,Author,Imprint,Field_Headings,fn_pages,nofn_pages,TableName,fn.percent,decade,footnotes_present,tags,,
519,0000900200.xml,900200,T088560,1760,"Taciturna and Jocunda: or, genius Alaciel's journey through those two islands. A satirical work. Translated from the French.",0,Anon,"London : printed for R. Withy, at the Dunciad in Cornhill; and J. Cook in May-Fair, MDCCLX. [1760].","Satire, French, Translations into English, Early works to 1800, Voyages and travels, Early works to 1800",1,206,Manifest_LitAndLang1,0.004830918,1760,1,C,,
523,0000900501.xml,900501,T129718,1794,"The confessions of James Baptiste Couteau, citizen of France, written by himself: and translated from the original French, by Robert Jephson, Esq. Illustrated with nine engravings. ...",Volume 1,"Jephson, Robert","London : printed for J. Debrett, 1794.","France, History, Revolution, 1789-1799, Fiction",1,277,Manifest_LitAndLang1,0.003597122,1790,0,"SM, CW, TY, PB",,
524,0000900502.xml,900502,T129718,1794,"The confessions of James Baptiste Couteau, citizen of France, written by himself: and translated from the original French, by Robert Jephson, Esq. Illustrated with nine engravings. ...",Volume 2,"Jephson, Robert","London : printed for J. Debrett, 1794.","France, History, Revolution, 1789-1799, Fiction",1,239,Manifest_LitAndLang1,0.004166667,1790,1,"C, IT",,
529,0001000200.xml,1000200,T077325,1765,"Histoire amoureuse, de Pierre le long, et de sa tr<c3><a8>s honnor<c3><a9>e dame Blanche Bazu. Ecritte par iceluy. La musique de Mr. Philidor.",0,"Billardon de Sauvigny, Louis Edm<c3><a9>","Londres [i.e. Paris], 1765.","French fiction, 18th century",1,151,Manifest_LitAndLang1,0.006578947,1760,0,"PO, SM, PB",,
530,0001000300.xml,1000300,T088377,1753,"Angelina. Interspersed with the histories of Dona Vittorina, Dom. Matheo, and the Chevalier de Riva Franca. Translated from the French.",0,Anon,"London : printed for J. Hinton, at the King's-Arms, in Newgate-Street, MDCCLIII. [1753].","Historical fiction, English, Early works to 1800",1,388,Manifest_LitAndLang1,0.002570694,1750,1,C,,
536,0001001000.xml,1001000,T065118,1773,"Contes moraux, et nouvelles idylles de D--- et Sal. Gessner.",0,"Diderot, Denis","Londres [i.e. Paris?] : [s.n.], M.DCC.LXXIII. [1773].","French fiction, 18th century, Tales, Early works to 1800",1,230,Manifest_LitAndLang1,0.004329004,1770,1,C,,
542,0001100401.xml,1100401,T100068,1769,The farmer's son of Kent. A tale. In two volumes. ...,Volume 1,Anon,"London : printed for Francis Noble, at his Circulating Library near Middle Row, Holborn; and John Noble, at his Circulating Library in St. Martin's Court, near Leicester-Square, MDCCLXIX. [1769].","English fiction, 18th century",1,230,Manifest_LitAndLang1,0.004329004,1760,0,"SM, CW, TY, PB",,
543,0001100402.xml,1100402,T100068,1769,The farmer's son of Kent. A tale. In two volumes. ...,Volume 2,Anon,"London : printed for Francis Noble, at his Circulating Library near Middle Row, Holborn; and John Noble, at his Circulating Library in St. Martin's Court, near Leicester-Square, MDCCLXIX. [1769].","English fiction, 18th century",1,234,Manifest_LitAndLang1,0.004255319,1760,1,"MT, C, IT",,
546,0001100601.xml,1100601,T055919,1790,"The baron of Manstow, a novel. From the German. In two volumes. ...",Volume 1,Anon,"London : printed for William Lane, at the Minerva, Leadenhall-Street, M.DCC.XC. [1790].","English fiction, 18th century",1,237,Manifest_LitAndLang1,0.004201681,1790,0,"SM, CW, PB",,
552,0001200301.xml,1200301,T088384,1772,"The phoenix; or, the history of Polyarchus and Argenis. Translated from the Latin, by a lady. In four volumes. ...",Volume 1,"Barclay, John","London : printed for John Bell, at his extensive Circulating Library, near Exeter-Exchange, in the Strand; and C. Etherington, at York, MDCCLXXII. [1772].",Romance fiction,1,312,Manifest_LitAndLang1,0.003194888,1770,0,"SM, CW",,
557,0001300200.xml,1300200,T132635,1753,"L'infortun<c3><a9> Fran<c3><a7>ois, ou les m<c3><a9>moires et aventures du Marquis de Courtanges. Traduits de l'anglois.",0,Anon,"A Londres [i.e. Paris?] : chez Jean Nourse, Libraire, M.DCC.LIII. [1753].","Adventure stories, French, Early works to 1800",1,166,Manifest_LitAndLang1,0.005988024,1750,0,PB,,
564,0001300602.xml,1300602,T098006,1767,"Le ministre de Wakefield, histoire suppos<c3><a9>e <c3><a9>crite par lui-m<c3><aa>me. ...",Volume 2,"Goldsmith, Oliver","Londres [i.e. Paris?] : chez Pissot, Desaint, 1767.","France, History, 18th century, France, Politics and government, 18th century",1,240,Manifest_LitAndLang1,0.004149378,1760,1,"C, IT",,
566,0001300702.xml,1300702,T131245,1749,"The history of Tom Jones, a foundling. In four volumes. By Henry Fielding, Esq;",Volume 2,"Fielding, Henry","London : printed for A. Millar, over - against Catharine-Street in the Strand, MDCCXLIX. [1749].",English fiction,1,341,Manifest_LitAndLang1,0.002923977,1740,2,,,
568,0001300704.xml,1300704,T131245,1749,"The history of Tom Jones, a foundling. In four volumes. By Henry Fielding, Esq;",Volume 4,"Fielding, Henry","London : printed for A. Millar, over - against Catharine-Street in the Strand, MDCCXLIX. [1749].",English fiction,1,358,Manifest_LitAndLang1,0.002785515,1740,1,C,,
574,0001400500.xml,1400500,T061247,1725,"The delightful, princely and entertaining history of the gentle-craft: containing many matters of delight; very pleasant to read. Shewing what famous men have been shooe-makers [sic] ... Adorned with pictures suitable to each story.",0,"Deloney, Thomas","London : printed for J. Rhodes, 1725.","Shoemakers, Anecdotes, facetiae, satire, etc., Early works to 1800",1,165,Manifest_LitAndLang1,0.006024096,1720,0,"P, TY, BQ, CW, PB",,
575,0001400600.xml,1400600,T060634,1758,"The delightful, Princely, and entertaining history of the gentle-craft. Containing many matters of delight, very pleasant to read. Shewing what famous men have been shoemakers in old Time, with their Worthy Deeds and Generous Humours. Also demonstrating why it was called the gentle-craft; And how the Proverb first came, A Shoemaker's Son is a Prince Born. To which is added, (what is not in any Book of the like Nature) The Merry Pranks of the Green King of St. Martin's, a Shoemaker so called. Concluding with The Shoemakers Glory: Being a Merry Song in the Praise of Shoemakers. To be sung by them every Year on the 25th of October, being Crispin. Adorned with Pictures suitable to each Story.",0,"Deloney, Thomas","London : printed for Henry Woodgate and Samuel Brooks, at the Golden-Ball, in Pater-Noster-Row, 1758.","Shoemakers, Anecdotes, Early works to 1800",1,117,Manifest_LitAndLang1,0.008474576,1750,0,"CW, M",,
576,0001400701.xml,1400701,T098056,1737,"Cassandra, a romance. In five parts. Written originally in French, and faithfully translated into English, by Sir Charles Cotterell, Master of the Ceremonies to King Charles I. and King Charles II. ...",Volume 1,"La Calpren<c3><a8>de, Gaultier de Coste, seigneur de","London : printed for J. J. and P. Knapton, D. Midwinter, A. Bettesworth and C. Hitch, J. Pemberton, R. Ware, C. Rivington, F. Clay, J. Batley and J. Wood, A. Ward, T. Longman, and R. Hett, M.DCC.XXXVII. [1737].","French fiction, Translations into English, 18th century",1,373,Manifest_LitAndLang1,0.002673797,1730,0,"TY, SM, CW",,
578,0001400703.xml,1400703,T098056,1737,"Cassandra, a romance. In five parts. Written originally in French, and faithfully translated into English, by Sir Charles Cotterell, Master of the Ceremonies to King Charles I. and King Charles II. ...",Volume 3,"La Calpren<c3><a8>de, Gaultier de Coste, seigneur de","London : printed for J. J. and P. Knapton, D. Midwinter, A. Bettesworth and C. Hitch, J. Pemberton, R. Ware, C. Rivington, F. Clay, J. Batley and J. Wood, A. Ward, T. Longman, and R. Hett, M.DCC.XXXVII. [1737].","French fiction, Translations into English, 18th century",1,346,Manifest_LitAndLang1,0.002881844,1730,0,SE,,
579,0001400704.xml,1400704,T098056,1737,"Cassandra, a romance. In five parts. Written originally in French, and faithfully translated into English, by Sir Charles Cotterell, Master of the Ceremonies to King Charles I. and King Charles II. ...",Volume 4,"La Calpren<c3><a8>de, Gaultier de Coste, seigneur de","London : printed for J. J. and P. Knapton, D. Midwinter, A. Bettesworth and C. Hitch, J. Pemberton, R. Ware, C. Rivington, F. Clay, J. Batley and J. Wood, A. Ward, T. Longman, and R. Hett, M.DCC.XXXVII. [1737].","French fiction, Translations into English, 18th century",1,381,Manifest_LitAndLang1,0.002617801,1730,0,"TY, CW",,
582,0001500201.xml,1500201,T105237,1750,"Pharsamond: or, the new Knight-Errant. In which is introduced the story of the fair anchoret, with that of Tarmiana and her unfortunate daughter. Written originally in French, by Monsieur de Marivaux, Member of the French Academy in Paris: Author of The Life of Marianne, &c. Translated by Mr. Lockman. ...",Volume 1,"Marivaux, Pierre Carlet de Chamblain de","London : printed for C. Davis, opposite Gray's-Inn, Holborn; and L. Davis, at Lord Bacon's Head, Fleet-Street, MDCCL. [1750].","French fiction, 18th century, Translations into English",1,344,Manifest_LitAndLang1,0.002898551,1750,1,C,,
584,0001500301.xml,1500301,T131181,1737,"The bachelor of Salamanca; or, memoirs of Don Cherubim de la Ronda. In three parts. Written originally in French by Mr. Le Sage; Author of the Devil upon Two Sticks, and Gil Blas. Translated by Mr. Lockman.",Volume 1,"Le Sage, Alain Ren<c3><a9>","London : printed for A. Bettesworth and C. Hitch, and C. Davis in Pater-Noster-Row; and G. Hawkins at Milton's Head between the two Temple-Gates in Fleet-Street, MDCCXXXVII. [1737].","English fiction, 18th century",1,269,Manifest_LitAndLang1,0.003703704,1730,1,"C, T",,
3,0004700402.xml,4700402,T125094,1748,Anecdotes de la cour de Fran<c3><a7>ois I. Par Mlle de Lussan. ...,Volume 2,"Lussan, Marguerite de","Londres [i.e. Paris?] : chez Jean Nours [sic], 1748.","France, Court and courtiers, France, History, Francis I, 1515-1547, Fiction",1,343,Manifest_HistAndGeo,0.002906977,1740,0,,,
599,0005000400.xml,5000400,T130967,1726,"The gentleman 'pothecary. A true story. Done out of French, by Sir Roger L'Estrange, Knt. in the year 1678.",0,"L'Estrange, Roger, Sir","London : printed for E. Curll, over-against Catherine-Street in the Strand, MDCCXXVI. [1726].","Medical fiction, English, Early works to 1800",1,58,Manifest_LitAndLang1,0.016949153,1720,1,"C, T",,
616,0005200101.xml,5200101,T108372,1776,"Emma; or, the child of sorrow. A novel. In two volumes. ...",Volume 1,Anon,"London : printed for T. Lowndes, No 77, in Fleet-Street, MDCCLXXVI. [1776].","English fiction, 18th century",1,247,Manifest_LitAndLang1,0.004032258,1770,0,"BQ, P, CW, TY, PB",,
621,0005200302.xml,5200302,T033005,1784,Barham Downs. A novel. In two volumes. By the author of Mount Henneth. ...,Volume 2,"Bage, Robert","London : printed for G. Wilkie, No. 71, St. Paul's Church-Yard, MDCCLXXXIV. [1784].","English fiction, 18th century, Epistolary fiction, English, Early works to 1800",1,356,Manifest_LitAndLang1,0.00280112,1780,0,"SD, CW",,
632,0005300203.xml,5300203,T072293,1793,The life and adventures of Robinson Crusoe. By Daniel De Foe. ... Embellished with Engravings.,Volume 3,"Defoe, Daniel","London : printed for C. Cooke, No. 17, Pater-Noster-Row, [1793].","Castaways, Fiction, Early works to 1800, Crusoe, Robinson (Fictitious character), Fiction, Early works to 1800, Islands, Fiction, Early works to 1800, Survival after airplane accidents, shipwrecks, etc., Fiction, Early works to 1800",1,198,Manifest_LitAndLang1,0.005025126,1790,0,"SM, CW, O",,
634,0005300302.xml,5300302,T072280,1753,"The life and strange surprising adventures of Robinson Crusoe; of York, mariner: who lived eight-and-twenty years all alone in an uninhabited island on the coast of America, near the mouth of the great river Oroonoque; having been cast on Shore by Shipwreck, wherein all the Men perished but Himself. With an Account how he was at last as strangely delivered by Pirates. Written by himself. ...",Volume 2,"Defoe, Daniel","London : printed for T. and T. Longman, C. Hitch and L. Hawes, J. Hodges, B. Dod, J. and J. Rivington, T. Trye, R. Baldwin, W. Johnston, and M. Cooper, M.DCC.LIII. [1753].","Survival after airplane accidents, shipwrecks, etc., Fiction",1,282,Manifest_LitAndLang1,0.003533569,1750,1,IN,,
635,0005300400.xml,5300400,T072307,1765,"The life and most surprising adventures of Robinson Crusoe, of York, mariner, who lived eight and twenty years in an uninhabited island on the coast of America, near the mouth of the great river Oroonoque. With an account of his deliverance thence, and his after surprising adventures. Also his Vision to the Angelic World.",0,"Defoe, Daniel","Birmingham : printed by J. Sketchley, auctioner, &c., [1765?].","Castaways, Fiction",1,413,Manifest_LitAndLang1,0.002415459,1760,0,CW,,
637,0005300600.xml,5300600,T072311,1773,"The life and most surprising adventures of Robinson Crusoe, of York, mariner; who lived eight and twenty years in an uninhabited island on the coast of America, near the mouth of the great river Oroonoque. With an account of his deliverance thence, and his after surprising adventures.",0,"Defoe, Daniel","Edinburgh : printed by Alexander Donaldson. Sold at his shop, No. 48, East corner of St. Paul's Church-Yard, London; and at Edinburgh, M.DCC.LXXIII. [1773].","Castaways, Fiction",1,338,Manifest_LitAndLang1,0.002949853,1770,0,"SM, CW, TY, O",,
640,0005300703.xml,5300703,T001944,1774,"The history of Tom Jones, a foundling. By Henry Fielding, Esq; ...",Volume 3,"Fielding, Henry","Edinburgh : printed for A lexander Donaldson. Sold at his Shops, No. 48, East corner of St. Paul's Church-Yard, London; and at Edinburgh, M.DCC.LXXIV. [1774].",English fiction,1,272,Manifest_LitAndLang1,0.003663004,1770,1,C,,
645,0005400502.xml,5400502,T092965,1762,"The country seat; or, summer evenings entertainments. Translated from the French. In two volumes. Volume the First. Containing, The History of Don Pedro D'Aguilar. Innocence Preserved. Arnold and Claramond. Remarkable Account of three Prostitutes. Melchu-Kina. The Self - Rival, and Constant Love.",Volume 2,Anon,"London : printed: and sold by T. Lownds in Fleet Street, MDCCLXII. [1762].","French fiction, 18th century, Translations into English",1,233,Manifest_LitAndLang1,0.004273504,1760,1,"C, IT",,
647,0005400700.xml,5400700,T103371,1752,"Opuscule d'un c<c3><a9>l<c3><a9>bre auteur Egyptien. Contenant l'histoire d'Orph<c3><a9>e, par laquelle on pourroit soup<c3><a7>onner qu'il est peu de femmes fideles.",0,"Mouhy, Charles de Fieux, chevalier de","Londres [i.e. Paris?], 1752.","French fiction, 18th century",1,92,Manifest_LitAndLang1,0.010752688,1750,1,IN,,
654,0005500201.xml,5500201,T129714,1788,"The effects of the passions, or memoirs of Floricourt. From the French. In three volumes. ...",Volume 1,"Dubois-Fontanelle, Jean Gaspard","London : printed for the proprietor; and sold by T. Vernor, 1788.","[Floricourt, M. de], Biography, Early works to 1800",1,204,Manifest_LitAndLang1,0.004878049,1780,0,"CW, SM, PB",,
658,0005500302.xml,5500302,T129707,1792,Cyanna of Athens. A Grecian romance. In two volumes. ... From the French of the Baron de Bilderbec.,Volume 2,"Bilderbeck, Ludwig Benedict Franz, Freiherr von","London : printed for T. Axtell, 1792.","Greek fiction, Translations into English, 18th century",1,180,Manifest_LitAndLang1,0.005524862,1790,1,C,,
659,0005500401.xml,5500401,T099889,1795,"The life of the Countess of G. By Gellert. Translated from the German, by a lady. ...",Volume 1,"Gellert, Christian F<c3><bc>rchtegott","London : printed for B. Law, Ave Maria Lane, [1795?].",German fiction,1,160,Manifest_LitAndLang1,0.00621118,1790,1,"C, T, MT",,
674,0005601100.xml,5601100,T075795,1766,The history of La Rivi<c3><a8>re. Translated from the French.,0,Anon,"London : printed for W. Flexney, near Gray's-Inn Gate, Holborn; and A. and C. Corbett, opposite St. Dunstan's Church, Fleet-Street, MDCCLXVI. [1766].","Historical fiction, French, Translations into English, Early works to 1800",1,285,Manifest_LitAndLang1,0.003496503,1760,1,"C, T",,
678,0005700301.xml,5700301,T113664,1798,"Emily de Varmont; or divorce dictated by necessity; to which are added the amours of Father S<c3><a9>vin. From the French of Louvet, Late President of the National Convention of France, Author of Faublas, &c. In three volumes. ...",Volume 1,"Louvet de Couvray, Jean-Baptiste","London : printed for G. Kearsley, No. 46, Fleet-Street, 1798.","Epistolary fiction, French, Translations into English, Early works to 1800, French fiction, 18th century, Translations into English",1,213,Manifest_LitAndLang1,0.004672897,1790,0,"TE, TY",,
685,0005700701.xml,5700701,T071886,1752,"The female Quixote; or, the adventures of Arabella. In two volumes. ...",Volume 1,"Lennox, Charlotte","London : printed for A. Millar, over-against Catharine-Street in the Strand, M.DCC.LII. [1752].","English fiction, 18th century, Women, Fiction, Early works to 1800, England, Social life and customs, 18th century, Fiction",1,284,Manifest_LitAndLang1,0.003508772,1750,1,"C, IT",,
695,0005800800.xml,5800800,T057461,1789,"The unfortunate happy West Country couple. Or, the entertaining history of Thomas and Sally. shewing How Thomas was by the wicked instigation of a country Justice, falsly accused of a Robbery, for which he was tried, and Transported. Giving an exact account of all the Hardships he suffered whilst abroad; and the strange adventure that brought them together in Spain where after inexpressible Joy, they were in a few days happily married.",0,Anon,"London : printed by T. Martin, Printer, Book-Binder & Pocket book maker. No. 76 Wood-Street Cheapside, [1789?].","English fiction, 18th century",1,22,Manifest_LitAndLang1,0.043478261,1780,0,"CW, SE",,
699,0005801101.xml,5801101,T089886,1768,"The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in Imitation of The Manner of Cervantes, Author of Don Quixote. By Henry Fielding, Esquire. Illustrated with cuts. In two volumes.",Volume 1,"Fielding, Henry","London : printed for A. Millar, and sold by T. Cadell, in the Strand, M.DCC.LXVIII. [1768].","Tobacco, Fiction",1,249,Manifest_LitAndLang1,0.004,1760,0,"C, T",,
