Unnamed: 0,Filename,DocumentID,ESTC_ID,Date,Title,Vol_Number,Author,Imprint,Field_Headings,fn_pages,nofn_pages,TableName,fn.percent,decade,footnotes_present
637,0005300600.xml,5300600,T072311,1773,"The life and most surprising adventures of Robinson Crusoe, of York, mariner; who lived eight and twenty years in an uninhabited island on the coast of America, near the mouth of the great river Oroonoque. With an account of his deliverance thence, and his after surprising adventures.",0,"Defoe, Daniel","Edinburgh : printed by Alexander Donaldson. Sold at his shop, No. 48, East corner of St. Paul's Church-Yard, London; and at Edinburgh, M.DCC.LXXIII. [1773].","Castaways, Fiction",1,338,Manifest_LitAndLang1,0.002949853,1770,0
654,0005500201.xml,5500201,T129714,1788,"The effects of the passions, or memoirs of Floricourt. From the French. In three volumes. ...",Volume 1,"Dubois-Fontanelle, Jean Gaspard","London : printed for the proprietor; and sold by T. Vernor, 1788.","[Floricourt, M. de], Biography, Early works to 1800",1,204,Manifest_LitAndLang1,0.004878049,1780,0
678,0005700301.xml,5700301,T113664,1798,"Emily de Varmont; or divorce dictated by necessity; to which are added the amours of Father S<c3><a9>vin. From the French of Louvet, Late President of the National Convention of France, Author of Faublas, &c. In three volumes. ...",Volume 1,"Louvet de Couvray, Jean-Baptiste","London : printed for G. Kearsley, No. 46, Fleet-Street, 1798.","Epistolary fiction, French, Translations into English, Early works to 1800, French fiction, 18th century, Translations into English",1,213,Manifest_LitAndLang1,0.004672897,1790,0
695,0005800800.xml,5800800,T057461,1789,"The unfortunate happy West Country couple. Or, the entertaining history of Thomas and Sally. shewing How Thomas was by the wicked instigation of a country Justice, falsly accused of a Robbery, for which he was tried, and Transported. Giving an exact account of all the Hardships he suffered whilst abroad; and the strange adventure that brought them together in Spain where after inexpressible Joy, they were in a few days happily married.",0,Anon,"London : printed by T. Martin, Printer, Book-Binder & Pocket book maker. No. 76 Wood-Street Cheapside, [1789?].","English fiction, 18th century",1,22,Manifest_LitAndLang1,0.043478261,1780,0
699,0005801101.xml,5801101,T089886,1768,"The history of the adventures of Joseph Andrews, and his friend Mr. Abraham Adams. Written in Imitation of The Manner of Cervantes, Author of Don Quixote. By Henry Fielding, Esquire. Illustrated with cuts. In two volumes.",Volume 1,"Fielding, Henry","London : printed for A. Millar, and sold by T. Cadell, in the Strand, M.DCC.LXVIII. [1768].","Tobacco, Fiction",1,249,Manifest_LitAndLang1,0.004,1760,0
704,0005801500.xml,5801500,T060876,1800,"The history of the giants. Containing their barbarous treatment of kings, queens, princesses, Ladies, Knights, 'squires, &c. whom they made their Prisoners. An Account of their Castles and inchanted Castles, built by Necro nancers; and of other Castles, which were guarded by them and several wild Monsters. Their Combats and Battles, and how they were slain by Christian Knights; a Description of them, their Deaths, and how these Knights delivered several Kings, Queens, Ladies, &c. from Captivity. With A particular Account of the great Giants, Brandamour and Siradon, who were overcome by Sir Morris, General of King Rimuer's Army. How Sir Thomas Killed the Giant Surandrag, and cut off the Head of the Giant Bombomachides, the Brother of Surandrag. How the Giant Trapsaca, having killed all the Servants of the Princess of Hungary was overcome by Sir Firebrrse, who also killed the Giant and Sorcerer Aldrovandi, who changed himself into a wild Boar, and afterwards into a frightful Dragon, &c. The comical Adventures of valiant John, who, by his Stratagems, killed several Giants. How the Giant Norfandal and his Brother were killed by the Knight of the Red Cross, &c. Lastly, how Sir Alan killed the Giant Danagelfe, who kept his father and Mother in Prison; and afterwards married the Queen of the Unknown Island, with a Relation of a strange Delusion, with which she entertained Knights and Ladies at her Court.",0,Anon,"London : printed by T. Sabine and Son, 81 Shoe Lane, Fleet Street, [1800?].","Historical fiction, English, Early works to 1800",1,106,Manifest_LitAndLang1,0.009345794,1800,0
709,0005900300.xml,5900300,T099012,1785,"The life of John Gilpin, taken from divers manuscripts in the possession of the family, and now published, for the First Time, by their Permission, for the Gratification of the Publick Curiosity, respecting so extraordinary a Character. To which is added, by way of appendix, the celebrated history of his journey to Edmonton. As read by Mr. Henderson, at Free-Mason's-Hall. Most respectfully inscribed to Mr. Henderson.",0,Anon,"Dublin : printed for Messrs. Burnet, White, Burton, H. Whitestone, Byrne, Cash, M'donnel and Marchbank, 1785.","Gilbert, John,, 1753-1776",1,154,Manifest_LitAndLang1,0.006451613,1780,0
721,0005901201.xml,5901201,T128625,1728,"A collection of novels and tales of the fairies. Written by that celebrated wit of France, the Countess d'Anois. In three volumes. ...",Volume 1,"Aulnoy, Madame d' (Marie-Catherine)","London : printed for J. Brotherton, and W. Meadows; Tho. Edlin; and Tho. Astley, 1728.","Fairy tales, Early works to 1800, French fiction, Translations into English, 18th century",1,305,Manifest_LitAndLang1,0.003267974,1720,0
722,0005901202.xml,5901202,T128625,1728,"A collection of novels and tales of the fairies. Written by that celebrated wit of France, the Countess d'Anois. In three volumes. ...",Volume 2,"Aulnoy, Madame d' (Marie-Catherine)","London : printed for J. Brotherton, and W. Meadows; Tho. Edlin; and Tho. Astley, 1728.","Fairy tales, Early works to 1800, French fiction, Translations into English, 18th century",1,281,Manifest_LitAndLang1,0.003546099,1720,0
723,0005901203.xml,5901203,T128625,1728,"A collection of novels and tales of the fairies. Written by that celebrated wit of France, the Countess d'Anois. In three volumes. ...",Volume 3,"Aulnoy, Madame d' (Marie-Catherine)","London : printed for J. Brotherton, and W. Meadows; Tho. Edlin; and Tho. Astley, 1728.","Fairy tales, Early works to 1800, French fiction, Translations into English, 18th century",1,253,Manifest_LitAndLang1,0.003937008,1720,0
735,0006101000.xml,6101000,T122569,1733,The desperadoes; an heroick history. Translated from the Italian of the celebrated Marini. (The original having passed ten editions.) ... In four books. Embellish'd with eight excellent copper-plates.,0,"Marini, Giovanni Ambrigio","London : printed by W. R. and sold by T. Astley ; J. Isted, and T. Worrall, 1733.","Italian fiction, 18th century, Translated into English, Outlaws, Fiction, Early works to 1800",1,294,Manifest_LitAndLang1,0.003389831,1730,0
743,0006200201.xml,6200201,T072295,1799,"The life and surprising adventures of Robinson Crusoe, of York, mariner: who lived eight and twenty years alone in an uninhabited island, on the coast of America, near the mouth of the great river Oroonoque; Having been cast on shore by Shipwreck, Wherein all the Men perished but himself. With An Account how he was at last as strangely delivered by Pirates. Written by himself. ...",Volume 1,"Defoe, Daniel","Manchester : printed by W.M. Shelmerdine and Co. No. 3, Deansgate., 1799-1800.","Selkirk, Alexander,, 1676-1721",1,375,Manifest_LitAndLang1,0.002659574,1790,0
747,0006200402.xml,6200402,T057443,1757,"The impetuous lover, or the Guiltless Parricide, shewing, To what Lengths Love may run, and the extream Folly of forming Schemes for Futurity. Written under the Instructions, and at the Request of one of the Interested Partys. By A. G. Esquire. ...",Volume 2,"A. G., Esquire","London : printed for E. Ross, at his circulating Library, in Duke's Court, facing St. Martin's Church, Charing-Cross, M.DCC.LVII. [1757].","Love stories, English, Early works to 1800",1,268,Manifest_LitAndLang1,0.003717472,1750,0
750,0006200601.xml,6200601,T057341,1798,"Jaquelina of Hainault: an historical novel, in three volumes, by the author of \the Duke of Clarence.\"" ...""",Volume 1,"Foster, E. M.","London : printed for J. Bell, No. 148, Oxford-Street, M.DCC.XCVIII. [1798].","Historical fiction, English, 18th century",1,212,Manifest_LitAndLang1,0.004694836,1790,0
759,0006300400.xml,6300400,T055909,1758,"Almira: or, the history of a French Lady of distinction. Interspersed with the histories of the Marquis de Montalvan; and Isabella: Lindamira, or, the Belle Espagnol, &c. &c. In four books.",0,Anon,"London : printed for, and sold by Ann and Charles Corbett, at their Correct State Lottery-Office, directly opposite to St. Dunstan's Church, Fleet-Street, MDCCLVIII. [1758].","English fiction, 18th century",1,261,Manifest_LitAndLang1,0.003816794,1750,0
760,0006300500.xml,6300500,T072335,1800,"The life and most surprising adventures of Robinson Crusoe, of York, mariner; who lived eight and twenty years in an uninhabited island on the coast of America, near the mouth of the great river Oroonoque. ...",0,"Defoe, Daniel","Liverpool : printeed [sic] by J. Nuttall, for Lackington Allen and Co. and W. Baynes, London; J. Hemingway, Blackburn; W. Bibby, Chorley, 1800.","Castaways, Fiction",1,283,Manifest_LitAndLang1,0.003521127,1800,0
764,0006400101.xml,6400101,T108183,1799,Sigismar. By the author of Villeroy. In three volumes ...,Volume 1,Author of Villeroy,"London : printed [by T. Plummer] for R. Dutton, Birchin-Lane, Cornhill, 1799.","Episotolary fiction, Early works to 1800",1,239,Manifest_LitAndLang1,0.004166667,1790,0
769,0006400401.xml,6400401,T057439,1770,Female friendship: or the innocent sufferer. A moral novel. ...,Volume 1,Anon,"London : printed for John Bell, at his Circulating Library near Exeter Exchange in the Strand, and C. Etherington, at York, MDCCLXX. [1770].","English fiction, 18th century",1,236,Manifest_LitAndLang1,0.004219409,1770,0
776,0006400900.xml,6400900,T057427,1794,"Argentum: or, adventures of a shilling.",0,Anon,"London : printed for J. Nichols; and sold by J. Pridden, No. 100, Fleet-Street, MDCCXCIV. [1794].","English fiction, 18th century",1,174,Manifest_LitAndLang1,0.005714286,1790,0
793,0008500600.xml,8500600,T130917,1751,"Memoirs of the life of Parnese, a Spanish lady of vast fortune. Written by herself: shewing the irresistable force of education: With A True Account of the Hardships she suffered, in Man's Apparel, for eight Years, in different Countries, in the Prosecution of a virtuous Amour with Rockbartez; her Escape from Slavery with Sarpeta, her Master's Daughter; their Flight into Persia; her accidental Marriage there to Rockbartez; and Return. Interspersed with the story of Beaumont and Sarpeta. Translated from the Spanish manuscript, by R.P. gent.",0,"Paltock, Robert","London : printed for William Owen, at Homer's Head, near Temple-Bar; and for William Clarke, under the Royal Exchange, Threadneedle Street, MDCCLI. [1751].","English fiction, 18th century",1,312,Manifest_LitAndLang1,0.003194888,1750,0
799,0008501001.xml,8501001,T131684,1733,"The adventures of Prince Jakaya: or, the triumphs of love over ambition. Being secret memoirs of the Ottoman court. Translated from the original French. In two volumes.",Volume 1,"Vignacourt, Adrien de La Vieuville d'Orville, comte de","London : printed for A. Bettesworth, and C. Hitch, at the Red-Lion in Pater-Noster-Row; and W. Innys, and R. Manby, at the Prince's-Arms, the West-End of St Paul's Church-Yard, 1733.","French fiction, 18th century, Translations into English",1,181,Manifest_LitAndLang1,0.005494505,1730,0
826,0008800400.xml,8800400,T072671,1726,"The tragical history of the Chevalier de Vaudray, and the Countess de Vergi. In two parts. To which is annexed, a short novel, intitled, The inhumane husband. Done from the French. By J. M.",0,"Vignacourt, Adrien de La Vieuville d'Orville, comte de","London : printed for A. Bettesworth, at the Red-Lyon in Pater-Noster-Row, 1726.","French fiction, Translations into English, Early works to 1800",1,224,Manifest_LitAndLang1,0.004444444,1720,0
835,0009000202.xml,9000202,T066926,1762,"The reverie; or, a flight to the paradise of fools. By the editor of The adventures of a guinea. In two volumes. ...",Volume 2,"Johnstone, Charles","Dublin : printed by Dillon Chamberlaine, in Smock-Alley, MDCCLXII. [1762].","English fiction, 18th century",1,221,Manifest_LitAndLang1,0.004504505,1760,0
849,0009100501.xml,9100501,T072038,1787,"The history of Charles Falkland, Esq. and Miss Louisa Saville. A novel. In a series of letters. In which is introduced, the history of Julia Harwood. In two volumes. ...",Volume 1,Anon,"[London] : Printed for Francis Noble, at his Circulaing Library, Holborn, 1787.","Epistolary fiction, English, Early works to 1800",1,236,Manifest_LitAndLang1,0.004219409,1780,0
853,0009100603.xml,9100603,T108460,1786,"Juliana. A novel, by the author of Francis, the philanthropist. In three volumes. ...",Volume 3,"Johnson, Mrs","London : printed for William Lane, Leadenhall-Street, M.DCC.LXXXVI. [1786].","Epistolary fiction, English, Early works to 1800",1,225,Manifest_LitAndLang1,0.004424779,1780,0
866,0009200902.xml,9200902,T057444,1771,"Jessy; or, the bridal day. A novel. Written by a lady, After the Manner of the late Mr. Richardson, (author of Clarissa, &c.) But not revised by that celebrated Writer. In two volumes. ...",Volume 2,Lady,"London : printed for F. and J. Noble, at their respective circulating Libraries, near Middle Row, Holborn, and Saint Martin's Court, near Leicester Square, MDCCLXXI. [1771].","Epistolary fiction, English, Early works to 1800",1,178,Manifest_LitAndLang1,0.005586592,1770,0
869,0009300202.xml,9300202,T131028,1767,"Letters from the Countess de Sancerre, to Count de Nanc<c3><a9>, her friend. By Madam Riccoboni. Translated from the French. ...",Volume 2,"Riccoboni, Marie Jeanne de Heurles Laboras de Mezi<c3><a8>res","London : printed for T. Becket and P. A. de Hondt, in the Strand, MDCCLXVII. [1767].","Epistolary fiction, French, Translations into English, Early works to 1800",1,227,Manifest_LitAndLang1,0.004385965,1760,0
875,0009300602.xml,9300602,T130921,1752,"La folle sens<c3><a9>e, ou histoire de Mlle. F***, dedi<c3><a9>e a Madame la marquise de V ... par le chevalier d. L****. Premiere Partie.",Volume 2,"Tschudi, Th<c3><a9>odore-Henri de","[London] : Imprim<c3><a9> <c3><a0> Londres, 1752.","French fiction, 18th century",1,83,Manifest_LitAndLang1,0.011904762,1750,0
876,0009300701.xml,9300701,T122567,1705,"Female falshood: or, the unfortunate beau. Being the amorous memoirs of a late French nobleman. Written by himself in his retirement, and digested by Monsieur St. Evremont. Made English.",Volume 1,"Villiers, Pierre","London : printed, and to be sold by the booksellers, 1705-06.","English fiction, 18th century",1,245,Manifest_LitAndLang1,0.004065041,1700,0
877,0009300702.xml,9300702,T122567,1705,"Female falshood: or, the unfortunate beau. Being the amorous memoirs of a late French nobleman. Written by himself in his retirement, and digested by Monsieur St. Evremont. Made English.",Volume 2,"Villiers, Pierre","London : printed, and to be sold by the booksellers, 1705-06.","English fiction, 18th century",1,286,Manifest_LitAndLang1,0.003484321,1700,0
902,0009500501.xml,9500501,T129712,1783,"Les amants ennemis de la vertu, et Dorval, philosophe amoureux. Premi<c3><a8>re Partie.",Volume 1,"Damiens de Gomicourt, Auguste-Pierre","A Londres [i.e. Paris] : et se trouve <c3><a0> Paris, chez M<c3><a9>rigot le jeune, Libraire, Quai des Augustins, au coin de la rue Pav<c3><a9>e, M.DCC.LXXXIII. [1783].","French fiction, 18th century",1,160,Manifest_LitAndLang1,0.00621118,1780,0
903,0009500502.xml,9500502,T129712,1783,"Les amants ennemis de la vertu, et Dorval, philosophe amoureux. Premi<c3><a8>re Partie.",Volume 2,"Damiens de Gomicourt, Auguste-Pierre","A Londres [i.e. Paris] : et se trouve <c3><a0> Paris, chez M<c3><a9>rigot le jeune, Libraire, Quai des Augustins, au coin de la rue Pav<c3><a9>e, M.DCC.LXXXIII. [1783].","French fiction, 18th century",1,183,Manifest_LitAndLang1,0.005434783,1780,0
909,0009600200.xml,9600200,T083448,1759,"Candid: or, all for the best. By M. de Voltaire.",0,Voltaire,"London : printed for J. Nourse at the Lamb opposite Katherine-Street in the Strand, MDCCLIX. [1759].",1759,1,136,Manifest_LitAndLang1,0.00729927,1750,0
910,0009600300.xml,9600300,T100956,1776,"La quinzaine angloise a Paris, ou l'art de s'y ruiner en peu de tems. Ouvrage posthume du Docteur Stearne, traduit de l'anglois par un observateur.",0,"Rutledge, Jean Jacques","Londres [i.e. Paris], 1776.","Paris (France), Social life and customs, 18th century, Paris (France), Description and travel, Early works to 1800",1,300,Manifest_LitAndLang1,0.003322259,1770,0
